x,Curve1
1401.748,0.011905
1409.441,0.015873
1417.133,0.022817
1425.175,0.027778
1432.867,0.034722
1441.259,0.039683
1449.301,0.046627
1456.993,0.053571
1465.035,0.061508
1472.727,0.06746
1480.769,0.075397
1488.462,0.082341
1496.154,0.090278
1503.497,0.099206
1510.14,0.108135
1516.783,0.119048
1523.776,0.128968
1530.769,0.138889
1537.762,0.150794
1545.105,0.159722
1552.098,0.171627
1557.692,0.1875
1565.035,0.198413
1571.678,0.207341
1578.322,0.220238
1583.566,0.239087
1590.21,0.252976
1596.503,0.269841
1603.147,0.285714
1608.741,0.303571
1615.385,0.318452
1622.028,0.334325
1628.671,0.349206
1634.615,0.366071
1640.559,0.381944
1645.804,0.401786
1651.399,0.419643
1657.692,0.436508
1662.587,0.456349
1668.182,0.474206
1673.427,0.492063
1680.07,0.505952
1686.014,0.520833
1692.308,0.535714
1700,0.546627
1705.594,0.561508
1709.663,0.579069
1711.189,0.578373
1713.408,0.591568
1716.084,0.59623
1721.329,0.616071
1726.573,0.635913
1728.827,0.647189
1731.818,0.654762
1737.063,0.673611
1743.706,0.690476
1747.329,0.688437
1750.699,0.697421
1751.514,0.695936
1751.734,0.699686
1758.042,0.696429
1765.035,0.684524
1770.629,0.667659
1773.32,0.653439
1776.224,0.650794
1778.607,0.650314
1780.07,0.667659
1781.25,0.681562
1781.69,0.674063
1783.217,0.668651
1784.113,0.666563
1784.994,0.670313
1786.316,0.668438
1787.638,0.675313
1788.811,0.681548
1792.043,0.697186
1793.144,0.694686
1793.706,0.691468
1793.805,0.689062
1795.127,0.688437
1796.668,0.683437
1797.99,0.685937
1799.65,0.691468
1802.448,0.715278
1804.895,0.739087
1807.021,0.755933
1808.741,0.750992
1809.884,0.747183
1811.646,0.754683
1812.968,0.755308
1814.685,0.760913
1815.171,0.760932
1816.272,0.757807
1819.356,0.760307
1819.796,0.759057
1821.329,0.755952
1821.779,0.754683
1822.44,0.750933
1823.761,0.740934
1824.476,0.734127
1826.184,0.71656
1827.622,0.71131
1829.72,0.6875
1832.168,0.66369
1833.916,0.638889
1836.014,0.615079
1838.112,0.59127
1840.559,0.56746
1842.308,0.542659
1844.755,0.518849
1847.552,0.496032
1850.699,0.473214
1853.056,0.462201
1856.294,0.456349
1862.587,0.470238
1865.035,0.494048
1867.483,0.517857
1868.881,0.542659
1870.979,0.566468
1872.378,0.59127
1873.776,0.616071
1875.175,0.639881
1876.224,0.664683
1877.273,0.689484
1878.322,0.714286
1879.048,0.730934
1879.488,0.734684
1880.769,0.734127
1883.217,0.71131
1884.615,0.686508
1885.664,0.661706
1886.713,0.636905
1887.413,0.612103
1888.462,0.587302
1889.51,0.563492
1890.559,0.53869
1891.608,0.513889
1892.657,0.489087
1893.706,0.464286
1894.755,0.440476
1895.804,0.415675
1896.853,0.390873
1898.252,0.366071
1899.65,0.342262
1901.399,0.31746
1903.147,0.292659
1904.895,0.268849
1906.643,0.24504
1908.741,0.220238
1911.189,0.196429
1914.336,0.173611
1917.133,0.150794
1920.629,0.127976
1924.126,0.105159
1927.622,0.082341
1929.709,0.0716
1932.867,0.0625
1934.995,0.057851
1937.413,0.071429
1938.811,0.09623
1939.51,0.121032
1939.86,0.144841
1940.21,0.169643
1940.559,0.194444
1940.909,0.219246
1941.259,0.244048
1941.608,0.268849
1941.958,0.318452
1942.308,0.368056
1942.657,0.417659
1943.007,0.492063
1943.357,0.566468
1943.706,0.640873
1943.806,0.735934
1945.128,0.998417
1946.229,0.360957
1946.89,0.096599
1947.11,0.065351
1947.771,0.031603
1948.652,0.015979
1949.533,0.010354
1950.855,0.007854
1953.718,0.00723
1956.581,0.006605
1959.665,0.005355
1962.749,0.00473
